Publisher,Series,Volume,Years,Issue,Current Value,Price Paid,Date Added,Issue Date
Image Comics,6 Sidekicks of Trigger Keaton,,2021-2022,1,4,3.99,6/12/2021,Jun-21
Image Comics,6 Sidekicks of Trigger Keaton,,2021-2022,2,4,3.99,10/20/2021,Jul-21
Image Comics,6 Sidekicks of Trigger Keaton,,2021-2022,3,4,3.99,1/20/2022,Aug-21
Image Comics,6 Sidekicks of Trigger Keaton,,2021-2022,4,4,3.99,10/20/2021,Sep-21
Image Comics,6 Sidekicks of Trigger Keaton,,2021-2022,5,4,3.99,1/20/2022,Oct-21
Image Comics,6 Sidekicks of Trigger Keaton,,2021-2022,6,4,3.99,1/20/2022,Nov-21
Dark Horse Comics,Abe Sapien,,2013-2017,1,3.5,3.5,9/16/2013,Apr-13
Dark Horse Comics,Abe Sapien,,2013-2017,2,3.5,3.5,9/16/2013,May-13
Dark Horse Comics,Abe Sapien,,2013-2017,3,3.5,3.5,9/16/2013,Jun-13
Dark Horse Comics,Abe Sapien,,2013-2017,4,3.5,3.5,9/16/2013,Jul-13
Dark Horse Comics,Abe Sapien,,2013-2017,5,3.5,3.5,9/16/2013,Aug-13
Dark Horse Comics,Abe Sapien,,2013-2017,6,3.5,3.5,5/16/2014,Oct-13
Dark Horse Comics,Abe Sapien,,2013-2017,7,3.5,3.5,5/16/2014,Nov-13
Dark Horse Comics,Abe Sapien,,2013-2017,8,3.5,3.5,5/16/2014,Dec-13
Dark Horse Comics,Abe Sapien,,2013-2017,14,3.5,3.5,5/16/2017,Jul-14
Dark Horse Comics,Abe Sapien,,2013-2017,15,3.5,3.5,5/16/2017,Aug-14
Dark Horse Comics,Abe Sapien,,2013-2017,16,3.5,3.5,5/9/2017,Sep-14
Dark Horse Comics,Abe Sapien,,2013-2017,17,3.5,3.5,5/9/2017,Oct-14
Dark Horse Comics,Abe Sapien,,2013-2017,18,3.5,3.5,5/8/2017,Dec-14
Dark Horse Comics,Abe Sapien: Abyssal Plain,Mini,2010,1,3.5,3.5,6/11/2011,Jun-10
Dark Horse Comics,Abe Sapien: Abyssal Plain,Mini,2010,2,3.5,3.5,6/11/2011,Jul-10
Dark Horse Comics,Abe Sapien: The Devil Does Not Jest,Mini,2011,1,3.5,3.5,3/24/2012,Sep-11
Dark Horse Comics,Abe Sapien: The Devil Does Not Jest,Mini,2011,2,3.5,3.5,12/30/2011,Oct-11
Dark Horse Comics,Abe Sapien: The Haunted Boy,One-Shot,2009,1,3.5,3.5,6/11/2011,Oct-09
